2024-08-17 13:53:41,588: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,589: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,589: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,589: asyncio: INFO: [MLTrader] Getting historical prices for AMZN, 365 bars, day
2024-08-17 13:53:41,589: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,589: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,590: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,591: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,591: asyncio: INFO: [MLTrader] Getting historical prices for META, 365 bars, day
2024-08-17 13:53:41,591: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,591: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,592: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,592: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,592: asyncio: INFO: [MLTrader] Getting historical prices for TSLA, 365 bars, day
2024-08-17 13:53:41,592: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,592: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,593: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,594: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-08-17 13:53:41,594: root: INFO: Current backtesting datetime 2022-06-09 16:00:00-04:00
2024-08-17 13:53:41,594: root: INFO: Current backtesting datetime 2022-06-10 09:30:00-04:00
2024-08-17 13:53:41,594: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,595: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,595: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,595: asyncio: INFO: [MLTrader] Getting historical prices for AAPL, 365 bars, day
2024-08-17 13:53:41,595: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,595: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,596: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,597: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,597: asyncio: INFO: [MLTrader] Getting historical prices for MSFT, 365 bars, day
2024-08-17 13:53:41,597: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,597: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,598: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,598: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,598: asyncio: INFO: [MLTrader] Getting historical prices for GOOGL, 365 bars, day
2024-08-17 13:53:41,598: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,599: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,600: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,600: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,600: asyncio: INFO: [MLTrader] Getting historical prices for AMZN, 365 bars, day
2024-08-17 13:53:41,600: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,600: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,601: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,601: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,601: asyncio: INFO: [MLTrader] Getting historical prices for META, 365 bars, day
2024-08-17 13:53:41,602: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,602: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
